,Team,HR
9,Los Angeles Dodgers,49
15,Chicago Cubs,48
5,New York Mets,39
20,Baltimore Orioles,38
14,Toronto Blue Jays,35
3,San Diego Padres,33
23,Detroit Tigers,33
6,Oakland Athletics,33
22,Pittsburgh Pirates,33
17,Seattle Mariners,33
11,Cleveland Indians,32
21,Colorado Rockies,31
28,Tampa Bay Rays,29
0,Milwaukee Brewers,29
13,Texas Rangers,29
1,Los Angeles Angels,28
12,Cincinnati Reds,28
2,Kansas City Royals,28
16,Houston Astros,26
4,Boston Red Sox,26
25,Washington Nationals,26
29,Philadelphia Phillies,26
26,San Francisco Giants,25
19,Minnesota Twins,24
27,New York Yankees,24
7,Chicago White Sox,22
18,Miami Marlins,16
10,Atlanta Braves,16
8,Arizona Diamondbacks,16
24,St. Louis Cardinals,16
