,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1," Cabrera, M",DET, ,408234,1B,119,429,64,145,28,1,18,76,77,82,1,1,.338,.440,.534,.974,15,3,0,2,229,47,19,120,103,1.17,1985,511
1,2," Bogaerts, X",BOS, ,593428,SS,156,613,84,196,35,3,7,81,32,101,10,2,.320,.355,.421,.776,1,3,3,3,258,45,16,203,135,1.50,2530,654
2,3," Altuve, J",HOU, ,514888,2B,154,638,86,200,40,4,15,66,33,67,38,13,.313,.353,.459,.812,8,9,3,6,293,59,17,198,199,0.99,2227,689
3,4," Brantley, M",CLE, ,488726,LF,137,529,68,164,45,0,15,84,60,51,15,1,.310,.379,.480,.859,8,2,0,5,254,60,14,177,156,1.13,2149,596
4,5," Cain, L",KC, ,456715,CF,140,551,101,169,34,6,16,72,37,98,28,6,.307,.361,.477,.838,4,12,0,4,263,56,16,157,147,1.07,2299,604
5,6," Fielder, P",TEX, ,425902,DH,158,613,78,187,28,0,23,98,64,88,0,0,.305,.378,.463,.841,14,11,0,5,284,51,21,207,157,1.32,2483,693
6,7," Kipnis, J",CLE, ,543401,2B,141,565,86,171,43,7,9,52,57,107,12,8,.303,.372,.451,.823,6,9,4,6,255,59,5,175,127,1.38,2540,641
7,8," Cruz, N",SEA, ,443558,DH,152,590,90,178,22,1,44,93,59,164,3,2,.302,.369,.566,.936,9,5,0,1,334,67,6,142,113,1.26,2632,655
8,9," Trout, M",LAA, ,545361,CF,159,575,104,172,32,6,41,90,92,158,11,7,.299,.402,.590,.991,14,10,0,5,339,79,11,123,138,0.89,2980,682
9,10," Hosmer, E",KC, ,543333,1B,158,599,98,178,33,5,18,93,61,108,7,3,.297,.363,.459,.822,6,3,1,3,275,56,16,211,122,1.73,2557,667
10,11," Donaldson, J",TOR, ,518626,3B,158,620,122,184,41,2,41,123,73,133,6,0,.297,.371,.568,.939,0,6,2,10,352,84,16,184,147,1.25,2817,711
11,12," Kinsler, I",DET, ,435079,2B,154,624,94,185,35,7,11,73,43,80,10,6,.296,.342,.428,.770,0,3,0,5,267,53,13,151,228,0.66,2526,675
12,13," Burns, B",OAK, ,542993,CF,125,520,70,153,18,9,5,42,26,81,26,8,.294,.334,.392,.726,1,6,1,2,204,32,5,159,135,1.18,1943,555
13,14," Betts, M",BOS, ,605141,RF,145,597,92,174,42,8,18,77,46,82,21,6,.291,.341,.479,.820,1,2,3,6,286,68,2,140,212,0.66,2634,654
14,15," Abreu, J",CWS, ,547989,1B,154,613,88,178,34,3,30,101,39,140,0,0,.290,.347,.502,.850,11,15,0,1,308,67,16,182,130,1.40,2526,668
15,16," Morales, K",KC, ,434778,DH,158,569,81,165,41,2,22,106,58,103,0,0,.290,.362,.485,.847,4,8,0,4,276,65,24,195,134,1.46,2442,639
16,17," Beltre, A",TEX, ,134181,3B,143,567,83,163,32,4,18,83,41,65,1,0,.287,.334,.453,.788,4,3,0,8,257,54,18,180,185,0.97,2288,619
17,18," Eaton, A",CWS, ,594809,CF,153,610,98,175,28,9,14,56,58,131,18,8,.287,.361,.431,.792,2,14,5,2,263,51,5,187,129,1.45,2785,689
18,19," Cano, R",SEA, ,429664,2B,156,624,82,179,34,1,21,79,43,107,2,6,.287,.334,.446,.779,5,3,0,4,278,56,26,240,128,1.88,2445,674
19,20," Machado, M",BAL, ,592518,3B,162,633,102,181,30,1,35,86,70,111,20,8,.286,.359,.502,.861,2,4,2,4,318,66,17,187,177,1.06,2789,713
20,21," Moustakas, M",KC, ,519058,3B,147,549,73,156,34,1,22,82,43,76,1,2,.284,.348,.470,.817,1,13,4,5,258,57,14,167,173,0.97,2435,614
21,22," Martinez, J",DET, ,502110,RF,158,596,93,168,33,2,38,102,53,178,3,2,.282,.344,.535,.879,7,5,0,3,319,73,11,110,154,0.71,2605,657
22,23," Forsythe, L",TB, ,523253,2B,153,540,69,152,33,2,17,68,55,111,9,4,.281,.359,.444,.804,2,14,0,6,240,52,12,132,163,0.81,2540,615
23,24," Holt, B",BOS, ,571788,2B,129,454,56,127,27,6,2,45,46,97,8,1,.280,.349,.379,.727,0,3,4,2,172,35,7,147,96,1.53,2085,509
